SYMBOL,ISIN,Security Name,Band,Sector_NSE,Category,MC_Map_Symbol,Sector,Industry,MC_Name,Hyperlink,Exchange
GRUH,INE580B01029,Gruh Finance Limited,20,FINANCIAL SERVICES,,GRUH,Banking/Finance,Finance - Housing,GRUH Finance,http://www.moneycontrol.com/india/stockpricequote/financehousing/gruhfinance/GRU,NSE
GSCLCEMENT,INE542A01039,Gujarat Sidhee Cement Limited,10,,,GSCLCEMENT,Cement/Construction,Cement - Major,Guj Sidhee Cem,http://www.moneycontrol.com/india/stockpricequote/cementmajor/gujaratsidheecement/GSC02,NSE
GSFC,INE026A01025,Gujarat State Fertilizers & Chemicals Limited,No Band,FERTILISERS & PESTICIDES,,GSFC,Chemicals,Fertilisers,GSFC,http://www.moneycontrol.com/india/stockpricequote/fertilisers/gujaratstatefertilizerschemicals/GSF,NSE
GSKCONS,INE264A01014,GlaxoSmithKline Consumer Healthcare Limited,20,CONSUMER GOODS,NIFTY Low Volatility 50 Index,GSKCONS,Food & Beverage,Food Processing,GlaxoSmith Con,http://www.moneycontrol.com/india/stockpricequote/foodprocessing/glaxosmithklineconsumerhealthcare/GSC04,NSE
GSPL,INE246F01010,Gujarat State Petronet Limited,20,ENERGY,,GSPL,Oil & Gas,Oil Drilling And Exploration,Guj State Petro,http://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/gujaratstatepetronet/GSP02,NSE
GSS,INE871H01011,GSS Infotech Limited,20,,,GSS,Technology,Computers - Software Medium & Small,GSS Infotech,http://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/gssinfotech/GAI05,NSE
GTL,INE043A01012,GTL Limited,20,,,GTL,Telecom,Telecommunications - Equipment,GTL,http://www.moneycontrol.com/india/stockpricequote/telecommunicationsequipment/gtl/GTL01,NSE
GTLINFRA,INE221H01019,GTL Infrastructure Limited,20,,,GTLINFRA,Telecom,Telecommunications - Equipment,GTL Infra,http://www.moneycontrol.com/india/stockpricequote/telecommunicationsequipment/gtlinfrastructure/GTL02,NSE
GTNIND,INE537A01013,GTN Industries Limited,10,,,GTNIND,Manufacturing,Textiles - Spinning - Cotton Blended,GTN Industries,http://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/gtnindustries/GTN01,NSE
GTPL,INE869I01013,GTPL Hathway Limited,20,,,GTPL,Media,Media & Entertainment,GTPL Hathway,http://www.moneycontrol.com/india/stockpricequote/mediaentertainment/gtplhathway/GH02,NSE
GUFICBIO,INE742B01025,Gufic Biosciences Limited,20,,,GUFICBIO,Pharmaceuticals,Pharmaceuticals,Gufic Bio,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/guficbiosciences/GB04,NSE
GUJALKALI,INE186A01019,Gujarat Alkalies and Chemicals Limited,20,CHEMICALS,NIFTY 500 Index/NIFTY Smallcap 250/NIFTY MidSmallcap 400,GUJALKALI,Chemicals,Chemicals,Guj Alkali,http://www.moneycontrol.com/india/stockpricequote/chemicals/gujaratalkalieschemicals/GAC01,NSE
GUJAPOLLO,INE826C01016,Gujarat Apollo Industries Limited,20,,,GUJAPOLLO,Engineering,Engineering - Heavy,Gujarat Apollo,http://www.moneycontrol.com/india/stockpricequote/engineeringheavy/gujaratapolloindustries/GAI03,NSE
GUJFLUORO,INE538A01037,Gujarat Fluorochemicals Limited,20,INDUSTRIAL MANUFACTURING,,GUJFLUORO,Chemicals,Chemicals,Guj Flourochem,http://www.moneycontrol.com/india/stockpricequote/chemicals/gujaratfluorochemicals/GF07,NSE
GUJGASLTD,INE844O01022,Gujarat Gas Limited,20,ENERGY,,GUJGASLTD,Oil & Gas,Oil Drilling And Exploration,Gujarat Gas,http://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/gujaratgas/GGC,NSE
GUJNRECOKE,INE110D01013,Gujarat NRE Coke Limited,10,,,GUJNRECOKE,Miscellaneous,Mining & Minerals,Guj NRE Coke,http://www.moneycontrol.com/india/stockpricequote/miningminerals/gujaratnrecoke/GNR,NSE
GUJNREDVR,IN9110D01011,Gujarat NRE Coke Limited,5,,,GUJNREDVR,Miscellaneous,Miscellaneous,Guj NRE (DVR),http://www.moneycontrol.com/india/stockpricequote/miscellaneous/gujaratnrecokedvr/GNR01,NSE
GULFOILLUB,INE635Q01029,Gulf Oil Lubricants India Limited,20,ENERGY,,GULFOILLUB,Chemicals,Lubricants,Gulf Oil Lubric,http://www.moneycontrol.com/india/stockpricequote/lubricants/gulfoillubricantsindia/GOL01,NSE
GULFPETRO,INE586G01017,GP Petroleums Limited,20,,,GULFPETRO,Chemicals,Lubricants,GP Petroleums,http://www.moneycontrol.com/india/stockpricequote/lubricants/gppetroleums/SP36,NSE
GULPOLY,INE255D01024,Gulshan Polyols Limited,20,,,GULPOLY,Chemicals,Chemicals,Gulshan Poly,http://www.moneycontrol.com/india/stockpricequote/chemicals/gulshanpolyols/GP9,NSE
HARITASEAT,INE939D01015,Harita Seating Systems Limited,20,,,HARITASEAT,Automotive,Auto Ancillaries,Harita Seating,http://www.moneycontrol.com/india/stockpricequote/autoancillaries/haritaseatingsystems/HSS02,NSE
HATHWAY,INE982F01036,Hathway Cable & Datacom Limited,20,MEDIA & ENTERTAINMENT,,HATHWAY,Media,Media & Entertainment,Hathway Cable,http://www.moneycontrol.com/india/stockpricequote/mediaentertainment/hathwaycabledatacom/HCD,NSE
HATSUN,INE473B01035,Hatsun Agro Product Limited,20,,,HATSUN,Food & Beverage,Food Processing,Hatsun Agro,http://www.moneycontrol.com/india/stockpricequote/foodprocessing/hatsunagroproducts/HAP,NSE
HAVELLS,INE176B01034,Havells India Limited,No Band,CONSUMER GOODS,,HAVELLS,Engineering,Electric Equipment,Havells India,http://www.moneycontrol.com/india/stockpricequote/electricequipment/havellsindia/HI01,NSE
HBLPOWER,INE292B01021,HBL Power Systems Limited,20,,,HBLPOWER,Engineering,Electric Equipment,HBL Power,http://www.moneycontrol.com/india/stockpricequote/electricequipment/hblpowersystems/HBL02,NSE
HBSTOCK,INE550B01014,Hb Stockholdings Limited,5,,,HBSTOCK,Banking/Finance,Finance - Leasing & Hire Purchase,Hb Stockhol,http://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/hbstockholdings/HBS,NSE
HCC,INE549A01026,Hindustan Construction Company Limited,No Band,CONSTRUCTION,Derivative Product/NIFTY Full Smallcap 100,,,,,,NSE
HCG,INE075I01017,Healthcare Global Enterprises Limited,20,,,HCG,Services,Hospitals & Medical Services,Healthcare Glob,http://www.moneycontrol.com/india/stockpricequote/hospitalsmedicalservices/healthcareglobalenterprises/HGE,NSE
HCL-INSYS,INE236A01020,HCL Infosystems Limited,20,IT,,HCL-INSYS,Technology,Computers - Hardware,HCL Info,http://www.moneycontrol.com/india/stockpricequote/computershardware/hclinfosystems/HCL,NSE
HCLTECH,INE860A01027,HCL Technologies Limited,No Band,IT,NIFTY100 Low Volatility 30 Index,HCLTECH,Technology,Computers - Software,HCL Tech,http://www.moneycontrol.com/india/stockpricequote/computerssoftware/hcltechnologies/HCL02,NSE
HDFC,INE001A01036,Housing Development Finance Corporation Limited,No Band,FINANCIAL SERVICES,Derivative Product/ Nifty 50,HDFC,Banking/Finance,Finance - Housing,HDFC,http://www.moneycontrol.com/india/stockpricequote/financehousing/housingdevelopmentfinancecorporation/HDF,NSE
HDFCBANK,INE040A01026,HDFC Bank Limited,No Band,FINANCIAL SERVICES,Derivative Product/ Nifty 50/Bank Nifty,HDFCBANK,Banking/Finance,Banks - Private Sector,HDFC Bank,http://www.moneycontrol.com/india/stockpricequote/banksprivatesector/hdfcbank/HDF01,NSE
HDFCLIFE,INE795G01014,HDFC Standard Life Insurance Company Limited,20,,,HDFCLIFE,Miscellaneous,Miscellaneous,HDFC Life,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/hdfcstandardlifeinsurancecompanylimited/HSL01,NSE
HDFCMFGETF,INF179K01CN1,HDFC Mutual Fund-HDFC Gold Exchange Traded Fund,20,,,,,,,,NSE
HDFCNIFETF,INF179KB1KP3,HDFC Mutual Fund - HDFC Nifty ETF,20,,,,,,,,NSE
HDFCSENETF,INF179KB1KQ1,HDFC Mutual Fund - HDFC SENSEX ETF,20,,,,,,,,NSE
